INDEX,UUID,LINE,NAME,LATITUDE,LONGITUDE,STATION,STATION_NAME
10,b312bda1-e65c-4592-b58b-033ad4718767,M1,La Défense Grande Arche,"48,89218708","2,237018056",1bf24499-4ef5-4e08-8f5c-f0a04421d44e,La Défense Grande Arche
20,14d98de6-ffc6-43a2-860e-225a5bafb31a,M1,Esplanade de La Défense,"48,88863122","2,247932435",3d5a8e99-e88b-4f3a-b0e7-ed0031bccd6b,Esplanade de La Défense
30,c1f64a40-3640-4a29-a774-9ecf46583272,M1,Pont de Neuilly,"48,8847082","2,260515078",30293c67-6e54-4220-89dd-e3462536e656,Pont de Neuilly
40,f18d9711-8b9b-43a3-8139-e9a815f5fe3c,M1,Les Sablons,"48,88119152","2,271686721",e0033ac7-54c0-4181-85a1-5920a6e8489e,Les Sablons
50,00cb9108-5b85-4c30-b608-bc47a05bc205,M1,Porte Maillot,"48,87755125","2,283162242",72dc60ae-a5cf-4def-b937-7a09cb351e8a,Porte Maillot
60,f2fd6950-afae-4ef0-852e-767d5d8b7e9e,M1,Argentine,"48,87559405","2,28932259",517ea309-27f9-4c84-be7b-8f79c3f998e9,Argentine
70,755ceb3a-df2f-456f-84e0-8664f6b75170,M1,Charles de Gaulle - Etoile,"48,87514982","2,295904906",8a51ce81-f3bd-41ee-a6fd-3911d00eec19,Charles de Gaulle - Etoile
80,3c9bd481-35e3-4ffc-b973-f6a5c7f7f284,M1,Georges V,"48,87202381","2,300560451",bae01629-a6f8-4294-bbaf-85ccde81ee84,Georges V
90,b9d1c704-532d-44b1-934c-99df09c84323,M1,Franklin D. Roosevelt,"48,86980822","2,307470793",5f6a4a7b-09e9-421b-a9f2-2a4d533298ef,Franklin D. Roosevelt
100,e56520f5-e7d1-4b59-9c07-d38f701839ee,M1,Champs-Elysées - Clémenceau,"48,86790534","2,31354555",fed8eabb-da75-43bd-8d4a-16728c9c1128,Champs-Elysées - Clémenceau
110,977af1c5-4d39-4406-82a5-c1e811c51410,M1,Concorde,"48,8662858","2,322943412",d8ab1e1d-daa3-453b-a05c-4c733c403678,Concorde
120,fbd3ad64-8537-4e18-afc2-ed5d3d9cb097,M1,Tuileries,"48,86434378","2,330129877",c7d1a124-6ce7-47ee-aea0-f13d250a5deb,Tuileries
130,c8cca062-47ed-4801-8906-b5849492a297,M1,Palais Royal - Musée du Louvre,"48,86234803","2,336496462",42ffc378-082b-4afd-a243-d9b9acb511fa,Palais Royal - Musée du Louvre
140,0da91896-c62c-4bd3-b9b3-eb61633b0b82,M1,Louvre - Rivoli,"48,86080629","2,341108592",5b3ebec3-478c-482c-8dfb-1a1fcb72d6cf,Louvre - Rivoli
150,241906bd-1a8a-460a-a00a-19ab1e7af0d9,M1,Châtelet,"48,8587992","2,347305853",dd0d7a96-b6d1-48d8-8ef7-1130cc8004ac,Châtelet
160,5732ca8b-23ee-47fb-9718-77d2f6b477c0,M1,Hôtel de Ville,"48,85747798","2,351577563",151928ac-1eaf-4df1-a7d7-2d51db2d52d3,Hôtel de Ville
170,4ea4d00a-b92a-444a-b724-c5acc705003e,M1,Saint-Paul,"48,85523625","2,360956489",69ccaaa9-a769-49b0-8d94-2deb2c428225,Saint-Paul
180,757a3621-4dda-4117-9888-7a836c6c3dd8,M1,Bastille,"48,85247942","2,369320585",81c478ad-c332-4b4a-b1a6-11fc7c4c5c7f,Bastille
190,6b2c5ee8-d593-40ab-95e6-cd90c1a5f7c8,M1,Gare de Lyon,"48,84602765","2,374962919",692e5314-ab68-4108-9900-07b429239506,Gare de Lyon
200,6bfcba0b-189f-414f-bc44-94413a02f3bd,M1,Reuilly - Diderot,"48,84730379","2,386341706",6a2550e7-f200-4ad3-a0ff-b53966c8cfaa,Reuilly - Diderot
210,3fe3b2e7-bc78-42b7-aee2-d9e24a170873,M1,Nation,"48,84757937","2,395554512",a55f8a4c-be4d-4e2d-9df2-45dcd97bee1c,Nation
220,cc967a54-83e5-40af-9c61-012b9ea9906a,M1,Porte de Vincennes,"48,84715848","2,410140368",f4a82b27-4474-49cc-bc3d-250ef4177efe,Porte de Vincennes
230,e3d0442b-0e5f-4001-afc2-d696f5a402f9,M1,Saint-Mandé,"48,84635699","2,4194799",4e358e90-60c8-4819-80d6-054525d753af,Saint-Mandé
240,895a38ab-fed5-4126-8540-b15a5036c9a6,M1,Bérault,"48,84547071","2,429205166",c3560d83-a983-492d-b29b-a1dc5c91b244,Bérault
250,d9c3de39-fb67-4a6e-8ec3-b766513b1f0c,M1,Château de Vincennes,"48,84445639","2,440439978",8f78df34-5c7a-41b7-9360-a77a807b73d3,Château de Vincennes
260,cf517a3b-379d-4e6e-a96a-8d0643d5f8d0,M2,Porte Dauphine,"48,87146658","2,277083017",4c3ec564-a4b9-4235-aaeb-b8ee9c2f3677,Porte Dauphine
270,48dfa2a0-9de8-43cd-aa71-6356484814a4,M2,Victor Hugo,"48,86979856","2,285335095",ac8f29e0-7011-4d33-a57e-8852dd82a152,Victor Hugo
280,3df2697d-2b6f-4981-a584-5dc323bfdb84,M2,Charles de Gaulle - Etoile,"48,87461393","2,29556737",8a51ce81-f3bd-41ee-a6fd-3911d00eec19,Charles de Gaulle - Etoile
290,ea229cd3-5220-40f9-b1bb-254cc1389174,M2,Ternes,"48,8779727","2,298310375",c38b9aaa-5255-4628-bf69-88b132e09003,Ternes
300,86fe7668-389f-4a80-8e58-25a59ec038f9,M2,Courcelles,"48,87921413","2,303528725",e3e88a41-0535-4ade-8f53-53c9a4ed0b8b,Courcelles
310,9769e1a1-be66-4f4c-860e-3d8a816a6855,M2,Monceau,"48,88044946","2,309451168",7de59bc7-618a-45f6-8337-a924f56b5c68,Monceau
320,10b62ae5-35ff-45db-af51-d2671b983651,M2,Villiers,"48,88115003","2,315176626",b228a94a-ef5a-46b7-8f14-54e1629f30bc,Villiers
330,f5e995d0-a5fc-456e-aa47-56206377bd98,M2,Rome,"48,8822269","2,321274927",e6c84f48-3936-4089-bbbc-ebe9f941a385,Rome
340,a19b50e8-8284-47de-a5d4-303e2f4e1058,M2,Place de Clichy,"48,88361499","2,327839556",e49ffd46-998f-4111-8512-e85a0ba98f11,Place de Clichy
350,65f01e7a-26f3-47c6-9a6b-23709091885c,M2,Blanche,"48,88395857","2,331926591",bd015557-7ed8-49fd-9ea2-ce11912a21f3,Blanche
360,fc51df3e-c34c-4ba4-bb3b-9596338beb13,M2,Pigalle,"48,88239015","2,337294791",0dd99be2-21d0-4197-afba-b5435292e894,Pigalle
370,a2f93f5e-583f-44b1-ace8-3c71fc827140,M2,Anvers,"48,88286865","2,344130634",7a13ae6a-9304-4a6b-af8f-2f05265173cc,Anvers
380,83fffe6d-c4b2-4ba4-a631-7078087c95af,M2,Barbès - Rechechouart,"48,88380394","2,350613001",1955b623-fb02-40b1-a95b-8c10f4f6e354,Barbès - Rechechouart
390,a7a96d0e-de76-41c3-bc38-88d12b04ed1d,M2,La Chapelle,"48,8843988","2,360491319",40c4f8ae-0cd8-4f95-8351-4d9bfb57211b,La Chapelle
400,ee8beb96-1812-440f-80b7-d9a7b0094388,M2,Stalingrad,"48,88427894","2,365881358",55bc4ee3-d7ff-4e63-b1d5-8a096a6c62f1,Stalingrad
410,c7a97b27-235c-4a4a-bfba-f9ca4f4501bc,M2,Jaurès,"48,8814986","2,370262127",f4e0c9ed-7be8-4f8e-a63c-6408f58d7c9c,Jaurès
420,1806cd1d-602d-4895-ac58-6f74604c73ff,M2,Colonel Fabien,"48,87761019","2,370811395",9734b159-3bfe-4b0d-baca-4c5671e23c33,Colonel Fabien
430,eb12bfff-2545-4cc0-bd66-abcb3bdee780,M2,Belleville,"48,87231011","2,376702145",274264b6-484f-43a8-96a4-53a62053be5c,Belleville
440,f988baae-2b18-4331-bbc7-1f3204b166df,M2,Couronnes,"48,86909116","2,380542586",13a19dab-281b-4c92-af3d-8f24f3db68d0,Couronnes
450,8ba4c93d-e391-4cbf-8025-e7331e4231c6,M2,Ménilmontant,"48,86680004","2,38338325",0bafbb82-3b50-4cb8-a321-d15fc116f234,Ménilmontant
460,f4d561ba-e7f2-42b2-b8f6-d82da069ea9c,M2,Père Lachaise,"48,86265402","2,387607288",257d38f4-424d-4fe9-90eb-ee8ba6e44a18,Père Lachaise
470,c1d5956c-b697-4a2c-973b-eb3c1c83c256,M2,Philippe Auguste,"48,85846655","2,389729852",48e6541a-bb53-4aa2-8d47-08130f241739,Philippe Auguste
480,19422ca3-5505-40a0-b879-c8be1ac3228d,M2,Alexandre Dumas,"48,85637736","2,394561945",26b5e6c3-4ca9-4447-9e95-25b1e5657b56,Alexandre Dumas
490,ba1c12c8-b769-4226-9caf-375e0d03ac52,M2,Avron,"48,85151028","2,398302344",5a2baccc-a909-479c-af43-0f426ee67697,Avron
500,a1acd0b7-df11-4b1f-b234-f22cc3494994,M2,Nation,"48,84847429","2,395062305",a55f8a4c-be4d-4e2d-9df2-45dcd97bee1c,Nation
510,1c3dc4ab-5954-491b-9800-fb2426118ddf,M3,Pont de Levallois Bécon,"48,89782107","2,279809587",e39ba938-ec0f-47b8-b8ef-f1f7b679aba7,Pont de Levallois Bécon
520,299b6e60-3fb4-4ad0-904e-5b1e9abe8bb5,M3,Anatole France,"48,89208279","2,285009503",1eebec8a-a21b-4908-b83a-3a736cff6382,Anatole France
530,279eed37-af68-4aa9-ac9a-9aba0512bbfc,M3,Louise Michel,"48,88870602","2,288083633",45d00f7e-852e-4e81-9200-a0138b6cab90,Louise Michel
540,9d5578b3-14cb-4752-b3c0-7a49054c6e3e,M3,Porte de Champerret,"48,88579311","2,292582314",c49be6c9-5970-48e3-896e-d12d5ff61471,Porte de Champerret
550,d0bd14be-edba-4239-b164-fda2f7fcf3cc,M3,Pereire,"48,88489626","2,297724346",5f33773c-52c3-4923-9137-f99369c1758e,Pereire
560,9a0f60d6-785f-4467-ada5-503f1ddb96c4,M3,Wagram,"48,8838092","2,304674441",a7e18597-75e2-4d9a-af06-88204107e207,Wagram
